ACTION_INDICATOR|COURSE_ID|USER_ID
U|228-MATH-6-601|228AALZAWQARI1
U|228-MATH-6-601|228JAPONTE
U|228-MATH-6-601|228JHUANG6
U|228-MATH-6-601|228WWU3
U|228-MATH-6-601|228DHOVSEPYAN
U|228-MATH-6-601|228SKHAKIMOVA
U|228-MATH-6-601|228GSOLIEVA
U|228-MATH-6-601|228HAHMATOVE
U|228-MATH-6-601|228MDAMENIA
U|228-MATH-6-601|228KDAVISON
U|228-MATH-6-601|228RGAYVORONSKIY
U|228-MATH-6-601|228JKUILAN
U|228-MATH-6-601|228NMARJANIDZE
U|228-MATH-6-601|228MROMAN
U|228-MATH-6-601|228AWONG1
***FileFooter6|16:03:52 05/05/2011
